,weight
RefinedPropertyType_Guesthouse,0.0011556686
Bed_Type_Airbed,0.001447501
Bed_Type_Couch,0.0015198569
RefinedPropertyType_Townhouse,0.001582559
Cancellation_Policy_moderate,0.0016771855
hasWirelessInternet,0.001710602
hasPetsAllowed,0.0017645026
Bed_Type_Futon,0.0018126142
hasFirstAidKit,0.0018254512
Bed_Type_Pull-out Sofa,0.0019502017
hasCarbonMonoxideDetector,0.0020532669
has24CheckIn,0.0020549593
hasHeating,0.0021240537
hasIdentityVerified,0.0021431975
hasFireExtinguisher,0.0022391244
hasSmokeDetector,0.002239853
hasShampoo,0.002291519
hasIron,0.0023185306
Cancellation_Policy_flexible,0.0023759909
Beds,0.002436088
hasHairDryer,0.00246574
hasEssentials,0.0025972915
hasLaptopFriendly,0.0026036922
hasFamilyFriendly,0.0027192268
hasHangers,0.0027216969
hasIntercom,0.002871632
RefinedPropertyType_Other,0.0030177818
Number_of_Reviews,0.0032132212
hasHotTub,0.0034273793
hasInternet,0.0034560442
RefinedPropertyType_House,0.003979446
hasWasher,0.0040037315
hasKitchen,0.0048320657
RefinedPropertyType_Loft,0.005751062
Cancellation_Policy_strict,0.005938046
RefinedPropertyType_Apartment,0.006346955
Bed_Type_Real Bed,0.0063954736
RefinedPropertyType_Bed & Breakfast,0.0072581717
hasCableTV,0.008470317
Latitude,0.013503061
hasDryer,0.015129314
hasTV,0.016611189
Longitude,0.018142099
Room_Type_Shared room,0.020163294
Room_Type_Private room,0.037726287
hasAirConditioning,0.041874964
Bathrooms,0.04257518
Bedrooms,0.075110115
Accommodates,0.08631015
Room_Type_Entire home/apt,0.51206255
